Created,Modified,Original Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
2019-02-16,2019-02-16,Polar,Pelicula,6.3,118,2019,Acción,101151,2019-01-25,Jonas Ã…kerlund
2019-12-01,2019-12-01,Hustlers,Pelicula,6.3,110,2019,Comedia,109306,2019-11-08,Lorene Scafaria
2019-05-09,2019-05-09,The Boy Who Harnessed the Wind,Pelicula,7.6,113,2019,Biografía,46425,2019-03-01,Chiwetel Ejiofor
2019-01-27,2019-01-27,Aquaman,Pelicula,6.8,143,2018,Acción,530629,2018-12-21,James Wan
2019-06-08,2019-06-08,PokÃ©mon: Detective Pikachu,Pelicula,6.5,104,2019,Acción,187407,2019-05-10,Rob Letterman
2019-05-11,2019-05-11,Shazam!,Pelicula,7.0,132,2019,Acción,393496,2019-04-05,David F. Sandberg
2019-11-17,2019-11-17,Angel Has Fallen,Pelicula,6.4,121,2019,Acción,113907,2019-08-30,Ric Roman Waugh
2019-05-12,2019-05-12,"Extremely Wicked, Shockingly Evil and Vile",Pelicula,6.7,110,2019,Biografía,106902,2019-05-03,Joe Berlinger
2019-12-13,2019-12-13,6 Underground,Pelicula,6.1,128,2019,Acción,201779,2019-12-13,Michael Bay
2019-07-07,2019-07-07,Spider-Man: Far from Home,Pelicula,7.4,129,2019,Acción,577821,2019-07-05,Jon Watts
2019-11-17,2019-11-17,Gemini Man,Pelicula,5.7,117,2019,Acción,125528,2019-10-11,Ang Lee
2019-09-13,2019-09-13,Yesterday,Pelicula,6.8,116,2019,Comedia,172866,2019-07-05,Danny Boyle
2019-04-03,2019-04-03,Escape Room,Pelicula,6.4,99,2019,Acción,147275,2019-03-15,Adam Robitel
2019-12-25,2019-12-25,The Lighthouse,Pelicula,7.4,109,2019,Drama,267877,2020-01-10,Robert Eggers
2019-04-21,2019-04-21,The Highwaymen,Pelicula,6.9,132,2019,Biografía,106866,2019-03-29,John Lee Hancock
2019-09-14,2019-09-14,Anna,Pelicula,6.6,118,2019,Acción,99585,2019-08-30,Luc Besson
2019-12-04,2019-12-04,Ms. Purple,Pelicula,6.3,87,2019,Drama,696,2019-09-06,Justin Chon
2019-08-20,2019-08-20,Ma,Pelicula,5.6,99,2019,Terror,61198,2019-06-07,Tate Taylor
2019-12-07,2019-12-07,Frozen II,Pelicula,6.8,103,2019,Animación,201236,2019-11-22,"Chris Buck, Jennifer Lee"
